Title,Location,Job_Type,Exp_level,Exp_year
Senior/Staff/Senior Staff Data Science & Process Automation Engineer,"Cairo, ,Egypt ",Full Time,Not specified,Full Time
Senior Data Scientist - Hybrid,"Sheikh Zayed, ,Giza, ,Egypt ",Full Time,Experienced,· 
Senior Data Engineer- Remote,"Cairo, ,Egypt ",Full Time,Manager,· 
Data Analyst,"Dubai, ,United Arab Emirates ",Full Time,Not specified, Analysis
Data Engineer,"Riyadh, ,Saudi Arabia ",Full Time,Not specified,Computer 
Vertica Data Engineer,"Dubai, ,United Arab Emirates ",Full Time,Not specified,Computer 
"Manager, Data Architecture & Engineering Egypt - Giza - Orange Egypt","Cairo, ,Egypt ",Full Time,Not specified,Computer 
"Logging Geologist-Surface Data Logging, Senior","Cairo, ,Egypt ",Full Time,Not specified,computer 
Data Analyst Specialist,"Riyadh, ,Saudi Arabia ",Full Time,Not specified,· 
Data Governance Manager,"Riyadh, ,Saudi Arabia ",Full Time,Not specified,Computer 
Junior Data Analyst,"Dubai, ,United Arab Emirates ",Full Time,Not specified, Analysis
AFC Data Analyst (Automatic Fare Collection System),"Riyadh, ,Saudi Arabia ",Full Time,Not specified, Analysis
Senior Data Scientist,"Nasr City, ,Cairo, ,Egypt ",Full Time,Experienced,· 
Data Analytics Supervisor,"Dubai, ,United Arab Emirates ",Full Time,Not specified,Computer 
Data Engineer,"Nasr City, ,Cairo, ,Egypt ",Full Time,Experienced,· 
Data Center Engineer,"Cairo, ,Egypt ",Full Time,Not specified,Full Time
Data Center Engineer,"Cairo, ,Egypt ",Full Time,Not specified,Computer 
Senior Data Engineer,"Maadi, ,Cairo, ,Egypt ",Full Time,Experienced,· 
Data Engineer,"New Cairo, ,Cairo, ,Egypt ",Full Time,Experienced,· 
Data Analyst,"Badr City, ,Cairo, ,Egypt ",Full Time,Experienced,· 
BI Data Analyst,"New Cairo, ,Cairo, ,Egypt ",Full Time,Entry Level,· 
Digital Data Analyst,"Sheikh Zayed, ,Giza, ,Egypt ",Full Time,Experienced,· 
Data Analyst,"San Stefano, ,Alexandria, ,Egypt ",Full Time,Experienced,· 
Software Tester and data entry,"Cairo, ,Egypt ",Full Time,Experienced,· 
Senior Data Engineer,"Nasr City, ,Cairo, ,Egypt ",Full Time,Experienced,· 
Data Architect,"Maadi, ,Cairo, ,Egypt ",Full Time,Experienced,· 
Data Modeler,"Maadi, ,Cairo, ,Egypt ",Full Time,Experienced,· 
Data Quality Specialist,"Maadi, ,Cairo, ,Egypt ",Full Time,Experienced,· 
Data Engineer,"Maadi, ,Cairo, ,Egypt ",Full Time,Experienced,· 
Senior Data Engineer,"Cairo, ,Egypt ",Full Time,Experienced,· 
Data Modeler,"Cairo, ,Egypt ",Full Time,Experienced,Full Time
Data Scientist Engineer,"Cairo, ,Egypt ",Full Time,Senior Management,· 
Data Scientist,"Katameya, ,Cairo, ,Egypt ",Full Time,Entry Level,· 
Data Analytics Consultant (AWS Certified),"Katameya, ,Cairo, ,Egypt ",Full Time,Experienced,· 
Data Analyst,"Rehab City, ,Cairo, ,Egypt ",Full Time,Experienced,· 
Senior Data Modeler,"New Cairo, ,Cairo, ,Egypt ",Full Time,Experienced,· 
IT Manager,"Nasr City, ,Cairo, ,Egypt ",Full Time,Manager,· 
AI Developer,"New Cairo, ,Cairo, ,Egypt ",Full Time,Experienced,· 
Project Manager - Data Networks (ICT),"Heliopolis, ,Cairo, ,Egypt ",Full Time,Experienced,· 
iOS Mobile Developer ( Nasr City),"Nasr City, ,Cairo, ,Egypt ",Full Time,Experienced,· 
Business Analyst,"Nasr City, ,Cairo, ,Egypt ",Full Time,Experienced,· 
SAP Senior Consultant 1,"Cairo, ,Egypt ",Full Time,Not specified,Computer 
Front End Developer (Vue.js),"Haram, ,Giza, ,Egypt ",Full Time,Experienced,· 
'SENIOR BI DEVELOPER,"Cairo, ,Egypt ",Full Time,Experienced,· 
Data Annotator / Data Labeler,"Cairo, ,Egypt ",Full Time,Experienced,· 
Senior BI Analyst,"Cairo, ,Egypt ",Full Time,Not specified,Full Time
Data Management and Governance Expert,"Nasr City, ,Cairo, ,Egypt ",Full Time,Experienced,· 
Centro Data Program,"Maadi, ,Cairo, ,Egypt ",Internship,Student, Analytics
Business Intelligence Analyst (Tableau/UI Designer),"Sheraton, ,Cairo, ,Egypt ",Full Time,Experienced,· 
Online Live Support Senior Specialist (Application Support Engineer),"Cairo, ,Egypt ",Full Time,Experienced,· 
Data Mapper,"Cairo, ,Egypt ",Full Time,Experienced,· 
Senior Data Analyst (Tableau Developer),"6th of October, ,Giza, ,Egypt ",Full Time,Entry Level,· 
Business Analyst,"Cairo, ,Egypt ",Full Time,Experienced,· 
C++ Developer,"Cairo, ,Egypt ",Full Time,Not specified,Computer 
Finance Analyst,"Cairo, ,Egypt ",Full Time,Not specified,
"Assurance Center of Excellence --Senior Associate - Cairo, Egypt","Cairo, ,Egypt ",Full Time,Not specified,Computer 
Senior Oracle Database Administrator,"Zamalek, ,Cairo, ,Egypt ",Full Time,Experienced,· 
Graduate Internship: Enterprise Software Engineering,"New Cairo, ,Cairo, ,Egypt ",Internship,Entry Level,· 
Senior Power BI Developer - Freelancer,"Cairo, ,Egypt ",Freelance / Project,Experienced,· 
Senior Data Modeler,"Cairo, ,Egypt ",Full Time,Experienced,· 
Science Teacher - Preparatory Stage - October City,"6th of October, ,Giza, ,Egypt ",Full Time,Experienced,Full Time
Materials Science Engineer,"New Cairo, ,Cairo, ,Egypt ",Full Time,Experienced,· 
Supervisor Consumer Analytics,"Cairo, ,Egypt ",Full Time,Not specified,
Data Scientist,"Mohandessin, ,Giza, ,Egypt ",Full Time,Experienced,· 
Senior Data Quality Engineer,"Maadi, ,Cairo, ,Egypt ",Full Time,Experienced,· 
Senior Data Engineer,"Maadi, ,Cairo, ,Egypt ",Full Time,Experienced,· 
Business Excellence Specialist,"Cairo, ,Egypt ",Full Time,Not specified,
Senior Presales Consultant - Enterprise Business Solutions,"Cairo, ,Egypt ",Full Time,Not specified,Computer 
Clinical Supervisor,"Alexandria, ,Egypt ",Full Time,Not specified,
IT Specialist,"Nasr City, ,Cairo, ,Egypt ",Full Time,Experienced,· 
Software Tester,"New Cairo, ,Cairo, ,Egypt ",Full Time,Experienced,· 
Business Intelligence Assistant Manager,"Nasr City, ,Cairo, ,Egypt ",Full Time,Experienced,· 
Salesforce Engineer- Remote,"Cairo, ,Egypt ",Full Time,Manager,· 
IT Section Head,"Maadi, ,Cairo, ,Egypt ",Full Time,Experienced,· 
Senior Infrastructure Engineer,"Cairo, ,Egypt ",Full Time,Not specified,Computer 
